Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;R Elbow;R Wrist;R Hand;R Hand Tip;
1523791442454;0.157057 0.515625 3.49722;0.182148 0.362008 3.46739;0.175216 0.272551 3.46872;0.149839 -2.42878e-05 3.46658;0.108004 -0.37156 3.45895;0.217085 0.212192 3.30461;0.0524669 0.00849374 3.30461;-0.196329 -0.185128 3.1137;-0.270316 -0.229879 3.10566;-0.326038 -0.288384 3.10246;
1523791442486;0.156572 0.516763 3.49736;0.182814 0.363174 3.46662;0.175516 0.27373 3.46802;0.149724 0.00184653 3.46484;0.109442 -0.366453 3.45081;0.216972 0.211906 3.30444;0.0504356 0.00942158 3.30444;-0.171587 -0.152774 3.1226;-0.248903 -0.209683 3.10185;-0.306746 -0.277149 3.09708;
1523791442520;0.15587 0.517727 3.50184;0.182806 0.36348 3.46649;0.175413 0.273964 3.468;0.149581 0.00191446 3.4649;0.109498 -0.366589 3.45092;0.216613 0.214375 3.30445;0.0503816 0.0114548 3.30445;-0.162511 -0.12589 3.12077;-0.23404 -0.187916 3.10511;-0.29737 -0.242574 3.08691;
1523791442554;0.155478 0.517721 3.50211;0.182808 0.363505 3.46643;0.175356 0.273994 3.46802;0.14919 0.00195384 3.46532;0.109193 -0.366722 3.45208;0.216699 0.213837 3.30364;0.0483549 0.0127057 3.30364;-0.164969 -0.138413 3.12447;-0.255913 -0.203239 3.10171;-0.314635 -0.267068 3.0922;
1523791442591;0.155332 0.518161 3.50384;0.182786 0.363779 3.46688;0.175116 0.274353 3.46883;0.148566 0.00227823 3.46674;0.108841 -0.366669 3.45393;0.21658 0.214543 3.30293;0.0464008 0.0150779 3.30293;-0.166315 -0.122909 3.11935;-0.243949 -0.184519 3.10478;-0.306822 -0.239893 3.082;
1523791442622;0.155276 0.518253 3.50357;0.182862 0.363934 3.46688;0.175131 0.274466 3.46889;0.148565 0.00230376 3.46686;0.109092 -0.366851 3.4542;0.216813 0.215204 3.30197;0.0458237 0.0163144 3.30197;-0.171287 -0.122587 3.13205;-0.239549 -0.180403 3.10367;-0.297011 -0.249555 3.08396;
1523791442653;0.156538 0.518826 3.50485;0.182823 0.364063 3.46688;0.175043 0.274775 3.46874;0.148702 0.00387625 3.46472;0.111827 -0.361725 3.44464;0.216489 0.215906 3.30119;0.045038 0.0171327 3.30119;-0.171395 -0.122582 3.13165;-0.241597 -0.177363 3.10308;-0.299078 -0.248879 3.08891;
1523791442686;0.155774 0.519365 3.50542;0.182937 0.364691 3.46688;0.175035 0.275218 3.4688;0.148646 0.00391389 3.46479;0.111407 -0.362937 3.44593;0.216054 0.21632 3.30112;0.0441259 0.0177057 3.30112;-0.18859 -0.128173 3.12365;-0.260346 -0.184468 3.10048;-0.317646 -0.254619 3.09176;
1523791442719;0.155947 0.519767 3.5054;0.183091 0.365063 3.4667;0.175114 0.275784 3.4686;0.148608 0.00504361 3.46449;0.111299 -0.361279 3.44602;0.214265 0.217678 3.30059;0.0427724 0.01897 3.30059;-0.192867 -0.12809 3.12417;-0.26678 -0.184579 3.09841;-0.324509 -0.248991 3.09063;
1523791442752;0.156897 0.520366 3.50609;0.183354 0.36541 3.46653;0.175241 0.276116 3.46852;0.148573 0.00529719 3.46456;0.110994 -0.361031 3.44679;0.213872 0.218741 3.30059;0.0419781 0.0200722 3.30059;-0.192024 -0.124684 3.12451;-0.267332 -0.180708 3.0997;-0.325486 -0.247599 3.08963;
1523791442786;0.156654 0.520376 3.50663;0.183343 0.365402 3.46654;0.175192 0.276132 3.46857;0.148402 0.00545816 3.46488;0.11067 -0.360576 3.44827;0.212967 0.21966 3.3009;0.0406521 0.0215631 3.3009;-0.191149 -0.118909 3.12692;-0.259415 -0.171004 3.09897;-0.322306 -0.226268 3.08391;
1523791442819;0.156631 0.521805 3.50741;0.183926 0.366888 3.46695;0.175654 0.277416 3.46876;0.148791 0.00611046 3.46452;0.111378 -0.360563 3.44706;0.21319 0.218438 3.30054;0.0381378 0.0234372 3.30054;-0.192351 -0.116668 3.12564;-0.266777 -0.169179 3.09655;-0.325548 -0.239223 3.09014;
1523791442852;0.156563 0.521757 3.50729;0.183863 0.366867 3.46704;0.175544 0.277391 3.46891;0.148616 0.0059658 3.46486;0.11111 -0.361321 3.44809;0.212747 0.217905 3.30055;0.0364698 0.0241928 3.30055;-0.193897 -0.115643 3.12436;-0.262848 -0.164249 3.09651;-0.320782 -0.220155 3.07655;
1523791442885;0.156464 0.522168 3.50732;0.183849 0.367305 3.46721;0.175473 0.27793 3.46924;0.148475 0.0065885 3.46564;0.110915 -0.360756 3.45;0.211659 0.218308 3.30055;0.0356057 0.0244738 3.30055;-0.194582 -0.11372 3.12284;-0.268564 -0.161835 3.09695;-0.325251 -0.230676 3.08841;
1523791442920;0.156772 0.522436 3.50733;0.183964 0.367676 3.46839;0.175434 0.278201 3.47041;0.148142 0.00641725 3.46672;0.110065 -0.361898 3.45128;0.211421 0.217841 3.30035;0.0337099 0.0251113 3.30035;-0.195169 -0.109876 3.12302;-0.267359 -0.155992 3.09684;-0.323682 -0.221563 3.08227;
1523791442952;0.156781 0.522711 3.50727;0.184018 0.368026 3.46886;0.175487 0.278751 3.47071;0.14838 0.00814885 3.4662;0.11109 -0.356843 3.44768;0.21018 0.219172 3.30117;0.0336438 0.0254572 3.30117;-0.195742 -0.107801 3.12272;-0.268102 -0.152252 3.09835;-0.324147 -0.220271 3.08454;
1523791442985;0.156636 0.523561 3.50761;0.183938 0.368903 3.46942;0.17549 0.279381 3.47087;0.148727 0.00849147 3.46533;0.112965 -0.358175 3.44295;0.209925 0.218661 3.30111;0.0325449 0.0256721 3.30111;-0.19753 -0.10624 3.12246;-0.263648 -0.146073 3.0997;-0.322297 -0.200926 3.07847;
1523791443019;0.156921 0.523993 3.50784;0.184741 0.36959 3.47075;0.17619 0.280247 3.47178;0.149395 0.00971689 3.46524;0.113575 -0.356169 3.44205;0.209183 0.218504 3.30156;0.0319348 0.0251749 3.30156;-0.198011 -0.10443 3.12228;-0.271726 -0.147011 3.09624;-0.324013 -0.209057 3.07809;
1523791443051;0.157105 0.52456 3.50845;0.184489 0.370092 3.47158;0.175753 0.280947 3.47297;0.148318 0.0106591 3.46746;0.110311 -0.355075 3.44851;0.209224 0.22042 3.30214;0.0315038 0.0276769 3.30214;-0.197396 -0.0994537 3.12329;-0.270214 -0.140245 3.10032;-0.325229 -0.205279 3.08675;
1523791443087;0.1565 0.52487 3.51041;0.184424 0.370239 3.47154;0.175707 0.281048 3.47293;0.148319 0.0106288 3.46739;0.110517 -0.355777 3.44822;0.209216 0.220042 3.30236;0.0302943 0.0281802 3.30236;-0.19767 -0.0949163 3.12455;-0.268235 -0.135879 3.10224;-0.32513 -0.196782 3.08565;
1523791443123;0.156249 0.524068 3.51192;0.184257 0.369304 3.47171;0.175543 0.280495 3.4731;0.148194 0.0105459 3.4675;0.110249 -0.355455 3.44856;0.209158 0.219745 3.30277;0.0299793 0.0283091 3.30277;-0.199596 -0.0937172 3.12562;-0.275426 -0.135523 3.10179;-0.335938 -0.199956 3.0871;
1523791443153;0.156271 0.52449 3.5122;0.183797 0.369796 3.47339;0.175178 0.280957 3.47437;0.148099 0.0107696 3.4678;0.110287 -0.355356 3.44848;0.209243 0.21922 3.3032;0.0143126 0.0471786 3.3032;-0.20241 -0.0925168 3.12541;-0.275285 -0.130974 3.10326;-0.332697 -0.19509 3.08555;
1523791443186;0.155049 0.524563 3.51336;0.18398 0.369961 3.47292;0.175332 0.281137 3.47412;0.148307 0.0110463 3.46787;0.110928 -0.354651 3.44941;0.209057 0.218755 3.30333;0.0130134 0.0471357 3.30333;-0.210176 -0.0857198 3.1346;-0.239438 -0.103625 3.11352;-0.29896 -0.16979 3.08447;
1523791443219;0.155871 0.524877 3.51395;0.184259 0.370173 3.47364;0.175524 0.281362 3.47483;0.148282 0.0112272 3.46845;0.110707 -0.3546 3.44978;0.209299 0.217643 3.30418;0.00946523 0.0493017 3.30418;-0.214352 -0.0783428 3.13047;-0.256013 -0.109985 3.11046;-0.316811 -0.177234 3.08267;
1523791443252;0.156112 0.525454 3.51434;0.183695 0.370574 3.47401;0.175097 0.28176 3.47512;0.148179 0.0115432 3.46852;0.110915 -0.354271 3.44959;0.209485 0.217763 3.30497;0.00960136 0.0494192 3.30497;-0.216074 -0.0747321 3.13111;-0.264077 -0.109238 3.10874;-0.325533 -0.171716 3.08926;
