Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525195555290;0.274383 0.493939 2.75188;0.261742 0.329783 2.74591;0.260019 0.250651 2.74988;0.254266 0.00874187 2.75206;0.248715 -0.320619 2.74611;0.444316 0.230062 2.75514;0.0918355 0.245069 2.81607;0.564874 0.015632 2.75514;-0.056054 0.0237072 2.906;0.592984 0.253372 2.64824;-0.0901835 0.233093 2.75173;0.595789 0.284938 2.62323;-0.0945298 0.303481 2.72741;0.497162 -1.29061 2.67901;0.0808034 -1.28753 2.70239;156;
1525195555430;0.280592 0.494573 2.7536;0.265878 0.330339 2.74748;0.26449 0.251081 2.7515;0.259547 0.00870792 2.75375;0.253052 -0.321278 2.74705;0.449325 0.229364 2.7556;0.0981317 0.244241 2.81741;0.568606 0.0145181 2.7556;-0.0474188 0.023238 2.91109;0.596084 0.254255 2.64707;-0.0834242 0.231249 2.75426;0.60127 0.285511 2.61881;-0.0881532 0.300477 2.73131;0.497152 -1.29088 2.67842;0.0807659 -1.28747 2.70234;157;
1525195555564;0.283996 0.494374 2.75468;0.269198 0.330684 2.74845;0.268191 0.251325 2.7525;0.264385 0.00857592 2.75478;0.258821 -0.322049 2.74771;0.454795 0.23022 2.75528;0.105731 0.242076 2.81996;0.588378 0.0103217 2.75528;-0.0333833 0.0177005 2.9151;0.602036 0.252354 2.64644;-0.078572 0.228274 2.75919;0.605608 0.292712 2.61328;-0.0834704 0.291482 2.74049;0.497112 -1.29161 2.67858;0.0808266 -1.28789 2.70241;158;
1525195555650;0.285 0.494501 2.75529;0.274092 0.331488 2.75061;0.272921 0.251932 2.75447;0.268522 0.00865949 2.75619;0.261957 -0.322519 2.74834;0.458204 0.231309 2.75511;0.111011 0.241331 2.82621;0.595484 0.00969825 2.75511;0.0242539 0.031782 2.91455;0.605661 0.251301 2.6463;-0.0718782 0.223126 2.76781;0.606234 0.293348 2.60996;-0.0796503 0.286962 2.7501;0.497036 -1.29159 2.67863;0.0809655 -1.28753 2.70267;159;
1525195555984;0.274183 0.498739 2.77784;0.273274 0.332161 2.75228;0.272102 0.25257 2.75633;0.267667 0.00917007 2.75872;0.260966 -0.322286 2.75176;0.456866 0.231629 2.75471;0.108928 0.239387 2.83256;0.586388 0.0113115 2.75471;-0.00460777 0.00745674 2.93985;0.603587 0.252373 2.64324;-0.0756109 0.220438 2.77889;0.596985 0.288709 2.6074;-0.0932998 0.283307 2.76666;0.497411 -1.29245 2.6785;0.080492 -1.28735 2.70195;160;
1525195556083;0.271565 0.499843 2.78301;0.27241 0.333164 2.75412;0.271039 0.253558 2.75835;0.265863 0.0100969 2.76133;0.257763 -0.321516 2.75518;0.452847 0.232433 2.75526;0.106126 0.239734 2.83564;0.575045 0.00942372 2.75526;0.00623995 0.0261554 2.93104;0.598754 0.219543 2.63944;-0.0772452 0.220241 2.78116;0.593474 0.283569 2.61658;-0.0970185 0.282183 2.76377;0.497449 -1.29247 2.67854;0.0805659 -1.28726 2.70217;161;
1525195556198;0.26947 0.500129 2.78462;0.270197 0.334178 2.75577;0.268775 0.254445 2.76023;0.263403 0.0105793 2.76391;0.255008 -0.321672 2.75875;0.448979 0.232232 2.7562;0.102861 0.240054 2.83661;0.569757 0.00983487 2.7562;-0.0428085 0.0184094 2.9288;0.596075 0.247664 2.65245;-0.0797877 0.221034 2.78046;0.594876 0.285096 2.62306;-0.100809 0.287697 2.75223;0.497333 -1.29231 2.67849;0.0805503 -1.287 2.70192;162;
1525195556330;0.263961 0.500921 2.78972;0.265477 0.335435 2.75743;0.264255 0.25551 2.76214;0.259413 0.0111182 2.76652;0.251594 -0.321751 2.7622;0.443619 0.232666 2.75987;0.0972674 0.240196 2.83623;0.565604 0.00916802 2.75987;-0.0456243 0.015994 2.92689;0.596253 0.217928 2.65899;-0.0832014 0.221411 2.77628;0.594801 0.279266 2.63553;-0.104362 0.290864 2.73914;0.497047 -1.29171 2.6784;0.0802494 -1.28764 2.70232;163;
1525195556463;0.258982 0.500759 2.79209;0.261803 0.335141 2.75898;0.260695 0.255294 2.76381;0.256252 0.0111341 2.7685;0.249019 -0.321413 2.76443;0.436611 0.232822 2.7624;0.0913158 0.241722 2.83664;0.555586 0.00538799 2.7624;-0.0477264 0.0145964 2.92624;0.594984 0.217588 2.66007;-0.0890011 0.221064 2.77265;0.588981 0.277011 2.63968;-0.111031 0.289363 2.73922;0.496332 -1.2915 2.67807;0.0803495 -1.28632 2.70253;164;
1525195556530;0.253551 0.501589 2.79597;0.258381 0.336397 2.76065;0.257558 0.256345 2.76548;0.253921 0.0116451 2.77014;0.247586 -0.32144 2.76594;0.432825 0.233205 2.76354;0.0887979 0.241723 2.83638;0.555042 0.00520513 2.76354;-0.0450432 0.0130548 2.92072;0.593316 0.216772 2.66211;-0.0932633 0.221447 2.77094;0.585538 0.27563 2.64047;-0.116014 0.289344 2.74136;0.496346 -1.29164 2.67816;0.0802789 -1.28648 2.70226;165;
